Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,Listing Gain
2016-08-31,RBL Bank Ltd,1212.97,85.08,198.06,5.7,69.62,225.0,21.64
2016-09-23,L&T Technology Services Ltd,894.4,5.01,1.03,1.75,2.53,860.0,4.65
2016-09-26,GNA Axles Ltd,130.41,17.18,217.47,11.84,54.88,207.0,20.05
2016-09-29,ICICI Prudential Life Insurance Company Ltd,6056.79,11.83,28.55,1.42,10.48,334.0,-1.5
2016-10-04,HPL Electric & Power Ltd,361.0,5.77,22.2,3.31,8.06,202.0,-5.92
2016-10-19,Endurance Technologies Ltd,1161.73,53.43,127.07,2.69,43.84,472.0,20.76
2016-11-08,Varun Beverages Ltd,1112.5,4.94,0.42,0.82,1.86,445.0,-3.37
2016-12-09,Sheela Foam Ltd,510.0,14.51,3.35,0.44,5.09,730.0,17.81
2016-12-19,Laurus Labs Ltd,1330.51,10.54,3.58,1.67,4.57,428.0,14.49
2017-02-03,BSE Ltd (Bombay Stock Exchange),1243.43,48.64,159.03,6.48,51.22,806.0,34.62
2017-03-17,Music Broadcast Ltd,488.53,39.78,109.13,9.85,39.67,333.0,26.13
2017-03-21,Avenue Supermarts Ltd (DMart),1870.0,144.62,277.74,7.51,104.59,299.0,102.14
2017-03-31,CL Educate Ltd,238.95,3.65,0.21,1.63,1.9,502.0,-20.72
2017-04-05,Shankara Building Products Ltd,345.0,51.62,90.68,15.35,41.88,460.0,18.48
2017-05-18,IRB InvIT Fund,5032.88,10.81,5.89,0.0,8.57,102.0,1.23
2017-05-19,Housing & Urban Development Corporation Ltd,1209.78,55.45,330.36,10.79,79.53,60.0,22.42
2017-06-06,IndiGrid Infrastructure Fund,2249.96,1.14,1.6,0.0,1.35,100.0,0.0
2017-06-29,ERIS Lifesciences Ltd,1741.16,4.68,0.45,3.51,3.29,603.0,1.49
2017-06-30,Central Depository Services Ltd,523.99,148.71,563.03,23.83,170.16,149.0,67.79
2017-07-04,GTPL Hathway Ltd,484.8,1.48,2.85,0.99,1.53,170.0,0.0
2017-07-25,Salasar Techno Engineering Ltd,35.87,0.0,2.59,19.42,11.01,108.0,139.95
2017-08-10,SIS Ltd,779.58,5.64,1.66,19.51,7.07,815.0,7.36
2017-08-11,Cochin Shipyard Ltd,1442.01,63.52,288.87,8.51,76.19,432.0,0.69
2017-09-04,Apex Frozen Foods Ltd,152.25,1.91,7.82,8.53,6.14,175.0,14.23
2017-09-18,Bharat Road Network Ltd,600.65,1.33,1.63,5.69,1.81,205.0,-0.05
2017-09-18,Dixon Technologies (India) Ltd,599.28,134.66,345.61,10.6,117.83,1766.0,54.3
2017-09-21,Matrimony.com Ltd,496.88,1.88,0.41,18.16,4.44,985.0,0.0
2017-09-25,Capacit'e Infraprojects Ltd,400.0,131.32,638.05,17.57,183.03,250.0,59.6
2017-09-27,ICICI Lombard General Insurance Company Ltd,5700.94,8.17,0.83,1.23,2.98,661.0,-1.66
2017-10-03,SBI Life Insurance Company Ltd,8386.4,12.56,0.7,0.85,3.58,700.0,4.76
2017-10-05,Prataap Snacks Ltd,481.56,76.89,101.15,8.48,47.39,938.0,33.26
2017-10-18,MAS Financial Services Ltd,460.04,148.33,378.53,15.97,128.39,459.0,43.79
2017-10-23,Indian Energy Exchange Ltd,1000.73,2.56,0.85,2.61,2.28,1650.0,-9.09
2017-10-25,General Insurance Corporation of India Ltd,11175.8,2.25,0.22,0.63,1.38,912.0,-6.8
2017-11-06,Nippon Life India Asset Management Ltd,1542.24,118.4,209.44,5.65,81.54,252.0,16.67
2017-11-10,Mahindra Logistics Ltd,828.88,15.6,2.07,6.1,7.9,429.0,0.7
2017-11-13,New India Assurance Company Ltd,9466.98,2.34,0.12,0.11,1.19,800.0,-6.39
2017-11-14,Khadim India Ltd,543.06,2.44,0.18,2.33,1.9,750.0,-3.07
2017-11-17,HDFC Life Insurance Company Ltd,8695.0,16.6,2.29,0.94,4.9,290.0,7.24
2017-12-15,Shalby Ltd,504.8,4.34,0.42,2.98,2.82,248.0,-4.44
2017-12-18,Future Supply Chain Solutions Ltd,649.7,12.36,11.15,3.28,7.56,664.0,1.51
2018-01-22,Apollo Micro Systems Ltd,156.0,101.93,958.07,40.19,248.51,275.0,73.82
2018-01-29,Newgen Software Technologies Ltd,424.62,15.62,5.52,5.18,8.25,245.0,3.27
2018-01-30,Amber Enterprises India Ltd,599.57,174.99,519.26,11.65,165.42,859.0,37.37
2018-02-08,Galaxy Surfactants Ltd,937.09,54.27,6.96,6.01,20.0,1480.0,2.7
2018-02-26,Aster DM Healthcare Ltd,980.14,2.1,0.55,1.18,1.31,190.0,-4.16
2018-03-09,H.G. Infra Engineering Ltd,462.0,8.37,4.97,3.08,4.98,270.0,0.0
2018-03-23,Bharat Dynamics Ltd,952.79,1.5,0.5,1.41,1.3,428.0,-15.89
2018-03-27,Bandhan Bank Ltd,4473.02,38.67,13.89,1.2,14.63,375.0,29.33
2018-03-28,Hindustan Aeronautics Ltd (HAL),4113.13,1.73,0.03,0.39,0.99,1215.0,-3.79
2018-04-02,Sandhar Technologies Ltd,512.48,14.49,6.39,1.42,6.19,332.0,3.92
2018-04-04,Mishra Dhatu Nigam Ltd (MIDHANI),435.02,1.96,0.13,0.72,1.21,90.0,-3.33
2018-04-09,Lemon Tree Hotels Ltd,1038.68,3.89,0.12,0.12,1.19,56.0,10.0
2018-05-21,Indostar Capital Finance Ltd,1844.0,16.08,6.91,1.48,6.8,572.0,4.9
2018-07-02,Rites Ltd,460.51,71.72,194.56,15.74,67.24,185.0,2.7
2018-07-30,TCNS Clothing Co. Ltd,1125.13,13.47,5.08,0.67,5.27,716.0,-0.14
2018-08-06,HDFC Asset Management Company Ltd,2800.33,192.26,195.15,6.73,83.06,1100.0,58.09
2018-09-28,Ircon International Ltd,466.94,12.29,4.92,10.07,9.9,475.0,-13.62
2018-10-08,AAVAS Financiers Ltd,1640.32,2.77,0.26,0.25,0.97,821.0,-7.67
2018-10-10,Garden Reach Shipbuilders & Engineers Ltd,343.59,1.81,0.31,0.24,1.02,118.0,-11.86
2019-02-04,Xelpmoc Design and Technologies Ltd,23.0,1.24,7.69,2.64,3.25,66.0,-15.15
2019-02-07,Chalet Hotels Ltd,1641.18,4.66,1.1,0.03,1.57,280.0,3.93
2019-03-29,MSTC Ltd,211.04,0.29,1.71,2.18,0.7,120.0,-7.5
2019-04-01,Embassy Office Parks REIT,4750.0,2.15,3.09,0.0,2.57,300.0,0.0
2019-04-11,Rail Vikas Nigam Ltd,477.11,1.36,0.8,2.93,1.83,19.0,0.0
2019-04-15,Metropolis Healthcare Ltd,1204.29,8.88,3.03,2.21,5.84,880.0,9.09
2019-05-08,Neogen Chemicals Ltd,132.35,30.49,113.88,16.06,41.18,215.0,16.74
2019-07-04,Indiamart Intermesh Ltd,475.59,14.92,15.78,3.03,12.95,973.0,21.27
2019-08-08,Affle (India) Ltd,459.0,55.31,198.69,10.96,86.49,745.0,24.82
2019-08-19,Spandana Sphoorty Financial Ltd,1189.85,3.11,0.55,0.09,1.05,856.0,-3.74
2019-08-20,Sterling and Wilson Solar Ltd,2849.64,1.02,0.89,0.3,0.85,780.0,-10.26
2019-10-14,Indian Railway Catering and Tourism Corporation Ltd,637.97,108.79,354.52,14.94,111.95,320.0,101.25
2019-10-15,Vishwaraj Sugar Industries Ltd,60.0,1.0,1.76,0.64,1.12,60.0,2.0
2019-12-04,CSB Bank Ltd,409.68,62.18,164.68,44.53,86.93,195.0,41.03
2020-03-16,SBI Cards & Payment Services Ltd,10340.8,57.18,45.23,2.5,26.54,755.0,-12.85
2020-07-23,Rossari Biotech Ltd,496.25,85.26,239.83,7.23,79.37,425.0,57.65
2020-07-27,Yes Bank Ltd,15000.0,1.9,0.63,0.47,0.93,12.0,2.5
2020-08-07,Mindspace Business Parks REIT,4500.0,,,,,275.0,10.55
2020-09-17,Happiest Minds Technologies Ltd,702.02,77.43,351.46,70.94,150.98,166.0,111.45
2020-09-21,Route Mobile Ltd,600.0,89.76,192.81,12.67,73.3,350.0,102.29
2020-10-01,Chemcon Speciality Chemicals Ltd,318.0,113.54,449.14,41.21,149.33,340.0,114.99
2020-10-01,Computer Age Management Services Ltd,2242.11,73.18,111.85,5.55,46.99,1230.0,23.41
2020-10-05,Angel One Ltd,600.0,3.07,0.11,1.83,1.81,306.0,-10.13
2020-10-12,Mazagon Dock Shipbuilders Ltd,443.69,89.71,678.88,35.63,157.41,145.0,49.14
2020-10-12,UTI Asset Management Company Ltd,2159.88,3.34,0.93,2.32,2.31,554.0,-11.51
2020-11-02,Equitas Small Finance Bank Ltd,517.6,3.91,0.22,2.08,1.95,33.0,-6.06
2020-11-20,Gland Pharma Ltd,6479.55,6.4,0.51,0.24,2.06,1500.0,13.4
2020-12-14,Restaurant Brands Asia Ltd,810.0,86.64,354.11,68.15,156.65,60.0,92.25
2020-12-24,Mrs Bectors Food Specialities Ltd,540.54,176.85,620.86,29.33,198.02,288.0,73.96
2021-01-01,Antony Waste Handling Cell Ltd,299.99,0.89,0.26,0.37,0.49,315.0,36.51
2021-01-29,Indian Railway Finance Corporation Limited,4633.38,3.78,2.67,3.66,3.49,26.0,-3.85
2021-02-02,Indigo Paints Limited,1169.12,189.57,263.05,15.93,117.02,1490.0,75.0
2021-02-03,Home First Finance Company India Limited,1153.72,52.53,39.0,6.59,26.66,518.0,18.18
2021-02-05,Stove Kraft Limited,412.63,8.02,32.72,26.04,18.03,385.0,21.3
2021-02-16,Brookfield India Real Estate Trust,3800.0,4.78,11.74,0.0,7.94,275.0,0.02
2021-02-25,Nureca Limited,100.0,3.1,31.59,166.65,39.93,400.0,58.74
2021-02-26,Railtel Corporation of India Limited,819.24,65.14,73.25,16.78,42.39,94.0,11.28
2021-03-05,Heranba Industries Limited,625.24,67.45,271.15,11.84,83.29,627.0,43.54
2021-03-19,Easy Trip Planners Limited,510.0,77.53,382.21,70.4,159.33,187.0,10.16
2021-03-24,Anupam Rasayan India Limited,760.0,65.74,97.42,10.77,44.06,555.0,-3.66
2021-03-26,Suryoday Small Finance Bank Limited,580.84,2.18,1.31,3.09,2.37,305.0,-3.93
2021-03-26,Kalyan Jewellers India Limited,1174.82,2.76,1.91,2.82,2.61,87.0,-15.06
2021-03-30,Nazara Technologies Limited,582.69,103.77,389.89,75.29,175.46,1101.0,79.02
2021-04-07,Barbeque Nation Hospitality Limited,452.87,5.11,3.1,13.13,5.98,500.0,-1.6
2021-04-19,Macrotech Developers Limited (Lodha Group),2500.0,3.05,1.44,0.4,1.36,486.0,-9.67
2021-06-24,Shyam Metalics and Energy Limited,908.55,155.71,339.98,11.58,121.4,306.0,19.93
2021-06-24,Sona BLW Precision Forgings Limited,5550.0,3.46,0.39,1.57,2.28,291.0,3.92
2021-06-28,Krishna Institute of Medical Sciences Limited,2143.74,5.26,1.89,2.9,3.86,825.0,22.29
2021-07-05,India Pesticides Limited,800.0,42.95,51.88,11.3,29.04,296.0,21.62
2021-07-19,Clean Science and Technology Limited,1546.62,70.31,110.28,5.71,46.57,900.0,98.27
2021-07-19,G R Infraprojects Limited,962.33,75.4,165.03,7.69,59.1,837.0,103.11
2021-07-29,Tatva Chintan Pharma Chem Limited,500.0,185.23,512.22,35.35,180.36,1083.0,95.0
2021-08-06,Alivus Life Sciences Limited,1513.6,36.97,122.54,14.63,44.17,720.0,4.32
2021-08-09,Rolex Rings Limited,731.1,143.58,360.11,24.49,130.44,900.0,38.78
2021-08-16,Windlas Biotech Limited,401.54,24.4,15.73,24.27,22.47,460.0,-4.57
2021-08-16,Krsnaa Diagnostics Limited,1213.34,49.83,116.3,42.04,64.4,954.0,7.44
2021-08-16,Exxaro Tiles Limited,160.77,17.67,5.36,40.1,22.68,120.0,5.0
2021-08-20,CarTrade Tech Limited,2998.51,35.45,41.0,2.75,20.29,1618.0,-1.11
2021-08-23,Nuvoco Vistas Corporation Limited,5000.0,4.23,0.66,0.73,1.71,570.0,-17.37
2021-08-24,Aptus Value Housing Finance India Limited,2780.05,32.41,33.91,1.35,17.2,353.0,-6.53
2021-09-24,Sansera Engineering Limited,1282.52,0.29,0.07,0.87,0.53,744.0,9.05
2021-10-01,Paras Defence and Space Technologies Limited,170.78,169.65,927.7,112.81,304.26,175.0,171.43
2021-10-11,Aditya Birla Sun Life AMC Limited,2768.26,10.36,4.39,3.24,5.24,712.0,0.0
2021-11-10,FSN E Commerce Ventures Limited (Nykaa),5349.72,91.18,112.02,12.24,81.78,1125.0,77.87
2021-11-12,Fino Payments Bank Limited,1200.29,1.65,0.21,5.92,2.03,577.0,-5.03
2021-11-15,S.J.S Enterprises Limited,800.0,1.42,2.32,1.38,1.59,542.0,-0.37
2021-11-15,PB Fintech,5709.72,24.89,7.82,3.31,16.59,980.0,17.35
2021-11-15,Sigachi Industries Limited,125.43,86.51,172.43,80.49,101.91,163.0,252.76
2021-11-23,Latent View Analytics,600.0,145.48,850.66,119.44,326.49,197.0,169.04
2021-11-26,Tarsons Products,1023.47,115.77,184.58,10.56,77.49,662.0,5.74
2021-11-30,Go Fashion (India) Limited,1013.61,100.73,262.08,49.7,135.46,690.0,90.72
2021-12-10,Star Health and Allied Insurance Company Limited,6400.44,1.03,0.19,1.1,0.79,900.0,-5.69
2021-12-13,Tega Industries Limited,619.23,215.45,666.19,29.44,219.04,453.0,66.23
2021-12-14,Anand Rathi Wealth Limited,659.38,2.5,25.42,7.76,9.78,550.0,9.46
2021-12-17,Rategain Travel Technologies Limited,1335.74,8.42,42.04,8.08,17.41,425.0,-14.16
2021-12-20,Shriram Properties Limited,600.0,1.85,4.82,12.72,4.6,118.0,-20.34
2021-12-21,C.E. Info Systems Limited (MapmyIndia),1039.61,196.36,424.69,15.2,154.71,1033.0,53.05
2021-12-23,MedPlus Health Services Limited,1398.3,111.9,85.33,5.24,52.59,796.0,27.51
2021-12-24,Data Patterns (India) Limited,588.22,190.86,254.22,23.14,119.62,585.0,47.69
2021-12-27,HP Adhesives Limited,125.96,1.82,19.04,81.24,20.96,274.0,16.42
2021-12-28,Supriya Lifescience Limited,700.0,31.83,161.22,56.01,71.51,274.0,55.11
2021-12-31,CMS Info Systems Limited,1100.0,1.98,1.45,2.15,1.95,216.0,1.16
2022-01-31,AGS Transact Technologies Limited,680.0,2.68,25.61,3.08,7.79,175.0,0.57
2022-02-16,Vedant Fashions Limited,3149.19,7.49,1.07,0.39,2.57,866.0,8.08
2022-04-07,Uma Exports Limited,60.0,2.81,0.94,6.28,4.64,68.0,17.65
2022-04-08,Patanjali Foods Limited (formerly Ruchi Soya Industries Limited),4300.0,2.2,11.75,0.9,3.6,650.0,30.77
2022-04-11,Veranda Learning Solutions Limited,200.0,2.02,2.09,5.68,2.24,137.0,14.6
2022-04-13,Hariom Pipe Industries Limited,130.05,1.91,2.68,6.92,3.57,153.0,39.87
2022-05-09,Campus Activewear (India) Limited,1399.6,152.04,10.68,4.73,28.55,292.0,21.58
2022-05-20,Prudent Corporate Advisory Services Limited,537.94,1.26,0.74,0.61,0.81,630.0,4.76
2022-05-24,Venus Pipes & Tubes Limited,165.42,12.02,6.59,11.12,8.69,326.0,2.76
2022-05-24,Delhivery Limited,5235.0,2.66,0.27,0.31,0.39,487.0,1.23
2022-05-27,Paradeep Phosphates Limited,1501.73,3.01,0.32,0.8,0.83,42.0,3.69
2022-05-30,Ethos Limited,402.26,1.06,0.76,0.32,0.61,878.0,-5.47
2022-06-01,eMudhra Ltd,412.79,4.05,1.28,2.61,2.72,256.0,5.86
2022-06-03,Aether Industries,808.04,17.57,1.33,0.59,2.91,642.0,9.99
2022-08-26,Syrma SGS Technologies,840.13,87.56,7.13,2.84,15.59,220.0,19.09
2022-09-06,Dreamfolks Services,562.1,70.53,37.66,43.66,56.68,326.0,54.91
2022-09-15,Tamilnad Mercantile,807.84,1.62,2.94,6.48,2.86,510.0,0.0
2022-10-17,Electronics Mart India,500.0,169.54,63.59,19.72,71.93,59.0,51.53
2022-10-20,Tracxn Technologies,309.38,1.66,0.23,2.39,0.71,80.0,3.75
2022-11-11,DCX Systems Ltd,500.0,84.32,43.97,61.77,69.79,207.0,38.29
2022-11-15,Fusion Finance Ltd,1103.99,8.59,1.38,0.51,2.95,368.0,-2.04
2022-11-16,Bikaji Foods International Limited,880.85,80.63,7.1,4.77,26.67,300.0,7.05
2022-11-16,Global Health Limited,2205.57,28.64,4.02,0.88,9.58,336.0,18.5
2022-11-21,Archean Chemical Industries Limited,1462.31,48.91,14.9,9.96,32.23,407.0,10.32
2022-11-22,Kaynes Technology India Limited,857.82,98.47,21.21,4.1,34.16,587.0,32.03
2022-11-23,Inox Green Energy Limited,740.0,1.05,0.47,4.7,1.55,65.0,-6.92
2022-12-08,Dharmaj Crop Guard Limited,251.09,48.21,52.29,21.53,35.49,237.0,12.24
2022-12-12,Uniparts India Limited,835.61,67.14,17.86,4.63,25.32,577.0,-0.35
2022-12-23,Landmark Cars Limited,552.0,8.71,1.32,0.59,3.06,506.0,-6.86
2022-12-23,Abans Financial Services Limited,345.6,4.1,1.48,0.4,1.1,270.0,0.0
2022-12-29,KFin Technologies Limited,1500.0,4.17,0.23,1.36,2.59,366.0,0.82
2022-12-30,Elin Electronics Limited,475.0,4.51,3.29,2.2,3.09,247.0,-1.62
2023-01-04,Radiant Cash Management Services Limited,256.64,1.01,0.66,0.21,0.53,94.0,5.64
2023-01-12,Sah Polymers Limited,66.3,2.4,32.69,39.78,17.46,65.0,30.77
2023-03-14,Divgi Torqtransfer Systems Limited,412.12,7.83,1.4,4.31,5.44,590.0,1.69
2023-04-03,Udayshivakumar Infosolutions Limited,66.0,40.47,60.42,14.1,30.63,35.0,0.0
2023-04-18,Avalon Technologies Limited,865.0,3.57,0.41,0.84,2.21,436.0,-1.15
2023-05-09,Mankind Pharma Limited,4326.36,49.16,3.8,0.92,15.32,1080.0,20.37
2023-05-19,Nexus Select Trust,3200.0,0.0,0.0,0.0,3.61,100.0,2.27
2023-07-04,HMA Agro Industries Limited,480.0,1.74,2.97,0.96,1.62,585.0,5.13
2023-07-07,Ideaforge Technologies Limited,567.25,125.81,80.58,85.2,106.06,672.0,94.21
2023-07-10,Cyient DLM Limited,592.0,90.44,45.05,49.22,67.31,265.0,51.32
2023-07-14,Senco Gold Limited,405.0,180.94,64.99,15.46,73.35,317.0,35.96
2023-07-27,Netweb Technologies India Limited,631.0,228.91,81.81,19.15,90.36,500.0,88.5
2023-08-16,SBFC Finance Limited,1025.0,192.9,49.09,10.99,70.16,57.0,43.84
2023-08-23,TVS Supply Chain Solutions Limited,880.0,1.35,2.35,7.61,2.78,197.0,4.72
2023-08-29,Pyramid Technoplast Limited,153.05,9.94,32.24,14.72,18.29,166.0,11.45
2023-08-31,Aeroflex Industries Limited,351.0,194.73,126.13,34.41,97.11,108.0,82.78
2023-09-05,Vishnu Prakash R P Limited,308.61,171.69,111.03,32.02,87.82,99.0,64.95
2023-09-11,Ratnaveer Precision Limited,165.03,133.05,135.21,54.01,93.99,98.0,30.61
2023-09-18,Jupiter Life Line Limited,869.08,187.32,34.75,7.73,63.72,735.0,30.61
2023-09-20,R R Kabel Limited,1964.01,52.26,13.23,2.13,18.69,1035.0,13.91
2023-09-22,Zaggle Prepaid Ocean Limited,563.38,16.73,8.85,5.94,12.57,164.0,-1.22
2023-09-22,Samhi Hotels Limited,1370.1,8.82,1.22,1.11,5.33,126.0,3.61
2023-09-27,Sai Silks (Kalamandir) Limited,1201.0,12.35,2.47,0.88,4.4,222.0,3.65
2023-09-27,Signature Global India Limited,730.0,12.71,13.54,6.82,11.88,385.0,15.58
2023-09-28,Yatra Online Limited,775.0,2.05,0.42,2.11,1.61,142.0,-8.45
2023-10-03,JSW Infrastructure Limited,2800.0,57.09,15.99,10.32,37.37,119.0,20.17
2023-10-04,Updater Services Limited,640.0,4.48,0.85,1.39,2.9,300.0,-0.03
2023-10-26,IRM Energy Limited,544.36,44.73,48.34,9.29,27.05,505.0,-5.15
2023-11-01,Blue Jet Healthcare Limited,840.27,13.72,13.59,2.24,7.95,346.0,4.02
2023-11-06,Cello World Limited,1900.0,108.57,24.42,3.06,38.9,648.0,28.24
2023-11-10,ESAF Small Finance Bank Limited,463.0,173.52,84.37,16.97,73.15,60.0,19.83
2023-11-13,Protean eGov Technologies Limited,489.95,46.94,31.62,8.93,23.86,792.0,0.0
2023-11-29,Indian Renewable Energy Development Agency Limited (IREDA),2150.21,104.57,24.16,7.73,38.8,32.0,56.25
2023-11-30,Fedbank Financial Services Limited,1092.26,3.51,1.45,1.82,2.2,140.0,-1.61
2023-11-30,Tata Technologies Limited,3042.51,203.41,62.11,16.5,69.43,500.0,139.99
2023-11-30,Gandhar Oil Refineries Limited,500.69,129.0,62.23,28.95,64.07,169.0,74.79
2023-12-20,Doms Industries Limited,1200.0,115.97,66.51,69.67,93.52,790.0,77.22
2023-12-21,Inox India Limited,1459.32,147.8,53.2,15.3,61.28,660.0,41.39
2023-12-26,Muthoot Microfin Limited,960.0,17.47,13.2,7.61,11.52,291.0,-4.47
2023-12-26,Suraj Estate Developers Limited,400.0,24.31,18.9,9.3,15.65,360.0,-4.5
2023-12-26,Motisons Jewellers Limited,151.09,157.4,233.91,122.28,159.61,55.0,88.91
2023-12-27,Happy Forgings Limited,1008.59,220.48,62.17,15.09,82.04,850.0,17.79
2023-12-27,RBZ Jewellers Limited,100.0,13.43,9.27,24.74,16.86,100.0,0.0
2023-12-27,Credo Brands Marketing Limited,549.78,104.95,55.52,19.94,51.85,280.0,0.71
2023-12-28,Azad Engineering Limited,740.0,179.66,87.61,23.79,80.65,524.0,35.5
2023-12-29,Innova Captab Limited,570.0,116.73,64.95,17.15,55.26,448.0,1.81
2024-01-16,Jyoti CNC Automation Limited,1000.0,44.13,36.48,26.17,38.53,331.0,12.39
2024-01-23,Medi Assist Healthcare Services Limited,1171.58,40.14,14.85,3.19,16.25,418.0,11.24
2024-02-06,BLS E-Services Limited,309.29,123.3,300.14,237.0,162.47,135.0,128.89
2024-02-12,Apeejay Surrendra Group (conglomerate),920.0,75.14,52.41,30.35,59.66,155.0,20.65
2024-02-14,Capital Small Finance Bank Limited,523.07,6.64,4.05,2.49,4.0,468.0,-7.05
2024-02-14,Rashi Peripherals Limited,600.0,143.66,62.75,10.44,59.71,311.0,7.72
2024-02-14,Jana Small Finance Bank Limited,570.0,38.75,25.05,5.46,18.5,414.0,-4.35
2024-02-16,Entero Healthcare Solutions Limited,1600.0,2.28,0.22,1.33,1.53,1258.0,-1.03
2024-02-20,Vibhor Steel Tubes Limited,72.17,178.73,721.34,188.17,298.86,151.0,178.81
2024-02-29,GPT Healthcare Ltd ,525.14,17.3,11.02,2.44,8.52,186.0,16.21
2024-03-05,Platinum Industries Ltd ,235.32,151.0,141.83,50.99,99.03,171.0,33.33
2024-03-05,Exicom Tele-Systems Ltd ,429.0,121.8,153.22,119.59,129.54,142.0,85.92
2024-03-12,Indus Infra Trust ,2499.99,8.92,6.93,0.0,8.01,100.0,1.0
2024-03-12,R K Swamy Ltd ,423.56,20.58,34.36,34.03,25.94,288.0,-12.5
2024-03-13,J.G.Chemicals Ltd ,251.19,32.09,46.33,17.44,27.78,221.0,-4.52
2024-03-19,Popular Vehicles & Services Ltd ,601.55,1.97,0.66,1.05,1.23,295.0,-1.02
2024-03-21,Krystal Integrated Services Ltd ,300.12,7.33,43.91,3.32,13.21,715.0,11.19
2024-04-03,SRM Contractors Ltd ,130.2,59.59,214.94,46.97,86.57,210.0,7.14
2024-04-12,Bharti Hexacom Ltd ,4275.0,48.57,10.52,2.83,29.88,570.0,32.49
2024-04-25,Vodafone Idea Ltd ,18000.0,17.56,4.13,0.92,6.36,11.0,9.09
2024-06-28,Stanley Lifestyles Limited,537.02,0.74,8.86,6.11,5.22,369.0,35.23
2024-07-02,Allied Blenders and Distillers Limited,1500.0,50.37,32.4,4.51,23.55,281.0,13.2
2024-07-03,Vraj Iron & Steel Limited,171.0,163.9,208.81,54.93,119.04,207.0,15.94
2024-07-10,Emcure Pharmaceuticals Limited,1952.03,195.83,48.32,7.21,67.87,1008.0,31.45
2024-07-10,Bansal Wire Industries Limited,745.0,146.05,51.46,13.64,59.57,256.0,37.52
2024-08-06,Akums Drugs and Pharmaceuticals Limited,1856.74,90.09,42.21,21.3,63.56,679.0,6.77
2024-08-09,Ola Electric Mobility Limited,6145.56,5.31,2.4,3.92,4.27,76.0,-0.01
2024-08-13,Brainbees Solutions Limited,4193.73,19.3,4.68,2.31,12.22,465.0,34.41
2024-09-04,Ecos (India) Mobility & Hospitality Limited,601.2,136.85,71.23,19.79,64.26,334.0,17.16
2024-09-16,Tolins Tyres Limited,230.0,25.42,27.41,21.52,23.89,226.0,0.44
2024-09-24,Northern ARC Capital Limited,777.0,240.79,142.41,31.08,110.91,263.0,33.46
2024-09-30,Manba Finance Limited,150.84,148.55,511.62,143.95,224.05,120.0,25.0
2024-10-04,Diffusion Engineers Limited,157.96,95.74,207.6,85.61,114.49,168.0,11.9
2024-10-15,Garuda Construction and Engineering Limited,264.1,1.24,9.03,10.81,7.55,95.0,8.63
2024-10-22,Hyundai Motor India Limited,27858.8,6.97,0.6,0.5,2.37,1960.0,-1.48
2024-10-28,Waaree Energies Limited,4321.44,208.63,62.49,10.79,76.34,1503.0,69.66
2024-10-30,Godavari Biorefineries Limited,554.75,2.76,0.9,1.71,1.83,352.0,-11.78
2024-11-04,Afcons Infrastructure Limited,5430.0,3.79,5.05,0.94,2.63,463.0,-7.12
2024-11-12,Sagility India Limited,2106.4,3.52,1.93,4.16,3.2,30.0,3.53
2024-11-13,Swiggy Limited,11327.4,6.02,0.41,1.14,3.59,390.0,5.64
2024-11-13,ACME Solar Holdings Limited,2900.0,3.54,0.97,3.1,2.75,289.0,-10.38
2024-11-14,Niva Bupa Health Insurance Company Limited,2200.0,2.06,0.68,2.73,1.8,74.0,6.08
2024-11-22,Zinka Logistics Solution Limited (BlackBuck),1114.72,2.76,0.24,1.66,1.86,273.0,2.22
2024-11-29,Enviro Infra Engineers Limited,650.3,157.05,153.8,24.48,89.9,148.0,47.3
2024-12-06,Suraksha Diagnostic Limited,846.25,1.74,1.41,0.95,1.27,441.0,-0.91
2024-12-18,One Mobikwik Systems Limited,572.0,119.5,108.95,134.67,119.38,279.0,58.51
2024-12-18,Vishal Mega Mart Limited,8000.0,80.75,14.25,2.31,27.28,78.0,41.03
2024-12-18,Sai Life Sciences Limited,3042.62,30.93,4.92,1.37,10.26,549.0,20.22
2024-12-19,Inventurus Knowledge Solutions Limited,2497.92,80.64,23.25,14.55,52.68,1329.0,39.65
2024-12-20,International Gemmological Institute (India) Limited,4225.0,45.8,24.84,11.21,33.78,417.0,21.07
2024-12-27,Mamata Machinery Limited,179.35,235.88,274.38,138.08,194.95,243.0,146.91
2024-12-27,Dam Capital Advisors Limited,840.25,166.33,98.62,27.13,82.08,283.0,38.83
2024-12-27,Concord Enviro Systems Limited,500.33,17.32,14.2,5.56,10.67,701.0,18.69
2024-12-27,Sanathan Textiles Limited,550.0,75.62,42.21,8.93,35.12,321.0,30.56
2024-12-27,Transrail Lighting Limited,838.91,201.06,76.41,22.07,80.8,432.0,35.45
2024-12-30,Ventive Hospitality Limited,1600.0,9.08,13.85,5.87,9.8,643.0,11.69
2024-12-30,Senores Pharmaceuticals Limited,582.11,94.66,96.11,89.23,93.41,391.0,51.84
2024-12-30,Carraro India Limited,1250.0,2.21,0.6,0.71,1.12,704.0,-6.25
2025-01-07,Indo Farm Equipment Limited,260.15,242.4,503.83,104.92,229.68,215.0,20.19
2025-01-13,Standard Glass Lining Technology Limited,410.05,331.6,268.5,64.99,183.18,140.0,25.71
2025-01-14,Quadrant Future Tek Limited,290.0,132.54,254.71,246.94,186.66,290.0,28.97
