Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,Listing Gain
2022-09-26,Harsha Engineers,755.0,178.26,40.36,12.44,47.19,330.0,34.55
2022-11-21,Five Star Business Finance Limited,1588.51,1.77,0.61,0.11,0.7,474.0,-5.07
2022-11-24,Keystone Realtors Limited,635.0,3.84,3.03,0.53,2.01,541.0,2.59
2022-12-22,Sula Vineyards Limited,960.35,4.13,1.51,1.65,2.33,357.0,0.28
2023-03-23,Global Surfaces Limited,154.98,8.95,33.1,5.12,12.21,140.0,16.43
2023-06-16,IKIO Technologies Limited (formerly IKIO Lighting Limited),606.5,163.58,63.35,13.86,66.3,285.0,37.19
2023-07-21,Utkarsh Small Finance Bank Limited,500.0,124.85,81.64,72.11,101.91,25.0,59.8
2023-08-07,Yatharth Hospital & Trauma Care Services Limited,686.55,85.1,37.22,8.34,36.16,300.0,1.33
2023-08-18,Concord Biotech Limited,1550.52,67.67,16.99,3.78,24.87,741.0,21.46
2023-09-11,Rishabh Instruments Limited,490.78,72.54,31.29,8.44,31.65,441.0,4.31
2023-09-21,EMS Limited,321.25,0.67,29.73,16.62,15.05,211.0,33.44
2023-10-03,Manoj Vaibhav Gems,270.2,1.06,5.18,1.66,2.25,215.0,0.0
2023-10-06,Valiant Laboratories Limited,152.46,20.83,73.64,16.06,29.76,140.0,15.0
2023-10-12,Plaza Wires Limited,71.28,42.84,388.09,374.81,160.97,54.0,55.56
2023-11-07,Honasa Consumer Limited (Mamaearth),1701.44,11.5,4.02,1.35,7.61,324.0,0.0
2023-11-15,ASK Automotive Limited,833.91,142.41,35.47,5.7,51.14,282.0,8.12
2023-12-01,Flair Writing Instruments Limited,593.0,115.6,33.37,13.01,46.68,304.0,65.46
2023-12-20,India Shelter Finance Limited,1200.0,89.7,28.51,9.95,36.71,493.0,24.28
2024-01-30,Epack Durable Limited,640.05,25.5,28.1,6.29,16.37,230.0,-2.17
2024-01-31,Nova Agritech Limited,143.81,79.31,224.08,77.12,109.37,41.0,36.59
2024-02-28,Juniper Hotels Ltd ,1800.0,0.0,0.06,0.52,0.11,360.0,0.33
2024-03-07,Mukka Proteins Ltd ,224.0,189.28,250.38,58.52,136.99,28.0,57.14
2024-03-14,Gopal Snacks Ltd,650.0,17.5,9.5,4.01,9.02,401.0,-12.72
2024-07-26,Sanstar Limited,510.55,145.68,136.5,24.23,82.99,95.0,12.0
2024-08-08,Ceigall India Limited,1252.66,31.5,14.42,3.77,13.78,401.0,2.99
2024-08-13,Unicommerce eSolutions Limited,276.57,138.75,252.48,131.15,168.39,108.0,112.96
2024-08-20,Saraswati Saree Depot Limited,160.01,64.12,358.65,61.88,107.52,160.0,25.0
2024-08-26,Interarch Building Products Limited,600.29,205.41,128.42,19.11,93.53,900.0,43.47
2024-08-28,Orient Technologies Limited,214.76,189.9,300.6,66.87,151.71,206.0,40.78
2024-09-03,Premier Energies Limited,2830.4,216.67,50.04,7.69,74.38,450.0,120.22
2024-09-06,Baazar Style Retail Limited,834.68,81.83,59.43,9.12,40.66,389.0,0.0
2024-09-09,Gala Precision Engineering Limited,167.93,232.54,414.62,91.95,201.41,529.0,41.78
2024-09-12,Shree Tirupati Balajee Agro Trading Company Limited,169.65,150.87,210.12,73.22,124.75,83.0,11.93
2024-09-16,Kross Limited,500.0,23.32,22.24,10.76,16.81,240.0,0.0
2024-09-16,Bajaj Housing Finance Limited,6560.0,209.36,41.51,7.04,63.61,70.0,114.29
2024-09-17,P N Gadgil Jewellers Limited,1100.0,136.85,56.08,16.58,59.4,480.0,73.75
2024-09-24,Arkade Developers Limited,410.0,163.16,163.02,51.39,106.83,128.0,37.42
2024-09-24,Western Carriers Limited,492.88,27.99,44.71,25.95,30.57,172.0,-1.16
2024-10-03,KRN Heat Exchanger and Refrigeration Limited,341.95,253.04,431.63,98.29,214.42,220.0,113.64
2024-10-28,Deepak Builders & Engineers India Limited,260.04,13.91,82.47,39.79,41.54,203.0,-2.22
2024-11-27,NTPC Green Energy Limited,10000.0,3.32,0.81,3.44,2.42,108.0,3.33
2024-12-31,Unimech Aerospace and Manufacturing Limited,500.0,317.63,263.78,56.74,175.31,785.0,89.94
2025-01-23,Stallion India Fluorochem Limited,199.45,172.93,422.42,96.89,188.37,90.0,33.33
2025-02-17,Ajax Engineering Limited,1268.88,14.41,6.46,1.92,6.44,629.0,-5.72
2025-07-02,Sambhv Steel Tubes Limited,540.0,62.32,31.82,7.99,28.46,82.0,34.27
2025-07-17,Smartworks Coworking Limited,582.56,24.41,22.78,3.53,13.45,407.0,7.15
2025-07-21,Anthem Biosciences Limited,3395.0,182.65,42.36,5.64,63.86,570.0,26.86
2025-07-31,Brigade Hotel Ventures Limited,759.6,5.42,1.92,6.4,4.48,90.0,-8.89
2025-08-06,National Securities Depository Ltd (NSDL),4011.6,103.97,34.98,7.73,41.01,800.0,10.0
2025-09-26,Saatvik Green Energy Ltd,900.0,10.84,10.04,2.66,6.57,465.0,-1.08
2025-09-26,GK Energy Ltd,464.26,186.29,122.73,20.79,89.62,153.0,7.84
2025-09-29,Atlanta Electricals Ltd,687.85,194.92,54.2,10.42,70.63,754.0,13.81
2025-09-29,Ganesh Consumer Products Ltd,408.8,4.18,4.34,1.15,2.67,322.0,-8.39
2025-09-30,Solarworld Energy Ltd,490.0,70.43,64.73,49.15,65.01,351.0,10.83
2025-09-30,Seshaasai Technologies Ltd,813.07,189.63,49.89,9.17,68.13,423.0,3.07
2025-09-30,Jaro Institute of Technology Management,450.0,35.35,35.48,8.71,22.06,890.0,0.0
2025-09-30,Anand Rathi Share & Stock Brokers Ltd,745.0,43.8,28.6,4.78,20.66,414.0,4.37
2025-10-01,Jain Resource Recycling Ltd,1250.0,25.29,5.3,3.62,15.9,232.0,14.33
2025-10-01,BMW Ventures Ltd,231.66,3.09,3.03,0.99,1.5,99.0,-19.19
2025-10-01,EPack Prefab Technologies Ltd,504.0,5.1,3.68,1.69,3.07,204.0,-8.77
2025-10-03,Jinkushal Industries Ltd,116.15,35.66,146.39,47.1,65.1,121.0,3.31
2025-10-03,TruAlt Bioenergy Ltd,839.28,159.22,98.56,11.0,71.92,496.0,10.89
2025-10-06,Pace Digitek Ltd,819.35,1.6,2.9,1.03,1.59,219.0,3.58
2025-10-07,Glottis Ltd,307.0,1.87,2.97,1.42,2.05,129.0,-31.78
2025-10-07,Fabtech Technologies Ltd,230.35,2.02,1.97,2.08,2.03,191.0,0.0
2025-10-08,Advance Agrolife Ltd,192.86,27.31,175.3,23.06,56.85,100.0,13.0
2025-10-08,Om Freight Forwarding Ltd,122.31,3.97,7.39,2.75,3.87,135.0,-38.89
2025-10-10,Wework India Management Ltd,3000.0,1.79,0.23,0.61,1.15,648.0,
2025-10-13,Tata Capital Ltd,15511.9,3.42,1.98,1.1,1.95,326.0,1.23
2025-10-14,LG Electronics India Ltd,11607.0,166.51,22.44,3.54,54.02,1140.0,50.44
2025-10-16,Rubicon Research Ltd,1377.5,130.26,97.61,35.47,103.9,485.0,27.86
2025-10-16,Anantam Highways Trust,400.0,2.49,7.29,0.0,4.67,100.0,3.02
2025-10-16,Canara Robeco Asset Management Ltd,1326.13,25.92,6.45,1.91,9.74,266.0,5.36
2025-10-17,Canara HSBC Life Insurance Ltd,2517.5,7.05,0.33,0.42,2.29,106.0,0.0
2025-10-24,Midwest Ltd,451.0,139.87,168.07,24.26,87.89,1065.0,9.4
2025-11-06,Orkla India Ltd,1667.54,117.63,54.42,7.05,48.73,730.0,2.95
2025-11-07,Studds Accessories Ltd,455.49,159.99,76.99,22.09,73.25,585.0,-2.56
2025-11-10,Lenskart Solutions Ltd,7278.02,40.35,18.23,7.54,28.26,402.0,
2025-11-12,Billionbrains Garages Ltd,6632.3,22.02,14.2,9.43,17.6,100.0,
2010-01-04,JSW Energy Limited,2700.0,2.88,0.15,0.4,1.68,100.0,2.0
2010-01-05,Godrej Properties Limited,468.85,7.45,0.41,0.38,4.0,490.0,4.08
2010-01-11,MBL Infrastructure Limited,102.6,3.35,2.65,0.4,1.97,180.0,5.56
2010-01-29,Birla Shloka Edutech Limited,34.78,0.0,5.45,1.76,1.43,50.0,-2.0
2010-02-15,Vascon Engineers Limited,178.2,1.12,3.65,0.62,1.22,165.0,3.03
2010-02-15,Syncom Healthcare Limited,56.25,0.99,16.6,6.25,5.17,75.0,17.33
2010-02-19,Thangamayil Jewellery Limited,28.75,0.52,1.52,2.26,1.12,75.0,-6.67
2010-02-23,Aqua Logistics Limited,150.0,0.26,5.07,3.0,1.94,220.0,-0.27
2010-02-25,Hathway Cable & Datacom Limited,666.0,1.43,4.29,0.28,1.36,240.0,2.5
2010-03-03,ARSS Infrastructure Projects Limited,103.0,49.34,124.53,18.55,47.62,450.0,42.22
2010-03-08,REC Limited,3529.94,39.3,27.12,7.68,27.91,203.0,13.3
2010-03-10,Texmo Pipes and Products Limited,45.0,1.02,30.5,7.26,7.48,90.0,12.78
2010-03-11,Man Infraconstruction Limited,141.75,96.06,104.57,10.26,62.53,252.0,32.94
2010-03-29,DQ Entertainment (International) Limited,128.16,93.86,272.88,19.45,86.33,80.0,68.75
2010-03-30,IL&FS Transportation Networks Limited,700.0,52.61,39.39,4.56,33.42,258.0,11.24
2010-04-05,Pradip Overseas Limited,116.6,8.57,45.35,10.53,14.08,110.0,9.09
2010-04-09,Shree Ganesh Jewellery House (I) Limited,371.02,1.38,6.13,1.39,1.96,260.0,-0.44
2010-04-12,Intrasoft Technologies Limited,53.65,21.97,21.6,13.51,18.95,145.0,-3.45
2010-04-16,Goenka Diamond & Jewellery Limited,126.51,0.78,3.0,0.66,1.07,135.0,-3.7
2010-05-18,Tarapur Transformers Limited,63.75,0.03,5.08,2.74,1.74,75.0,0.0
2010-05-19,GB Global Limited,107.9,7.97,10.52,2.81,6.32,130.0,2.08
2010-05-21,Jaypee Infratech Limited,2257.6,1.77,1.15,0.61,1.24,102.0,-8.82
2010-06-11,Standard Chartered (India) Limited,2486.35,4.15,1.9,0.25,2.2,104.0,0.96
2010-07-01,Parabolic Drugs Limited,200.0,1.48,1.2,0.4,1.04,75.0,1.33
2010-07-28,Shri Aster Silicates Limited,53.1,0.01,12.46,7.41,4.47,118.0,8.22
2010-08-04,Midfield Industries Limited,59.85,1.86,48.41,13.51,12.92,133.0,19.85
2010-08-12,Engineers India Limited,959.35,23.43,5.85,2.99,13.36,290.0,8.62
2010-08-25,Prakash Steelage Limited,68.75,1.27,10.91,6.62,4.53,110.0,7.77
2010-09-09,Gujarat Pipavav Port Limited,553.85,13.2,85.7,9.15,19.94,46.0,22.28
2010-09-29,Indosolar Limited,357.0,1.44,1.3,1.81,1.55,29.0,2.59
2010-10-01,Tirupati Inks Limited,51.5,1.78,23.18,12.59,8.77,43.0,25.47
2010-10-05,Sastasundar Ventures Ltd,147.5,5.91,35.88,11.04,12.2,118.0,14.49
2010-10-06,Eros International Media Ltd,350.0,25.79,73.4,11.95,26.51,175.0,21.91
2010-10-08,Ramky Infrastructure Ltd,530.0,4.52,1.45,0.99,2.89,450.0,0.0
2010-10-08,ESL Steel Ltd,248.07,5.86,28.58,6.19,8.23,11.0,12.27
2010-10-08,Orient Green Power Company Ltd,900.0,2.09,0.64,0.18,1.07,47.0,-2.77
2010-10-12,Tecpro Systems Ltd,267.91,27.99,62.48,9.07,24.47,355.0,12.51
2010-10-13,Va Tech Wabag Ltd,472.59,36.13,100.98,8.55,36.22,1310.0,26.34
2010-10-14,Bedmutha Industries Ltd,91.8,0.67,29.19,8.51,7.69,102.0,12.16
2010-10-14,Ashoka Buildcon Ltd,225.0,25.52,13.91,3.46,15.94,324.0,2.95
2010-10-14,Sea TV Network Ltd,50.2,1.66,40.94,7.45,9.58,100.0,20.0
2010-10-18,Jupiter Wagons Ltd,172.41,3.68,0.34,0.38,2.07,127.0,-3.31
2010-10-20,Oberoi Realty Ltd,1028.61,22.15,3.61,0.94,12.13,260.0,7.69
2010-10-27,BS Ltd,190.45,0.52,3.16,1.04,1.1,248.0,1.21
2010-10-27,Prestige Estates Projects Ltd,1200.0,4.32,0.24,0.08,2.26,183.0,3.83
2010-11-04,Coal India Ltd,15199.4,24.7,25.4,2.31,15.28,245.0,17.45
2010-11-16,Gravita India Ltd,45.0,6.04,182.52,37.34,42.88,125.0,75.0
2010-11-25,Power Grid Corporation of India Ltd,7442.34,115.9,40.34,6.77,64.82,90.0,5.56
2010-12-06,RPP Infra Projects Ltd,48.75,0.16,7.27,5.6,2.97,75.0,0.0
2010-12-15,MOIL Ltd,1237.51,49.16,143.3,32.86,56.43,375.0,46.93
2010-12-20,Claris Lifescience Ltd,300.0,1.31,2.03,1.6,1.5,228.0,-1.58
2010-12-23,A2Z Infra Engineering Ltd,776.25,0.68,3.12,0.33,0.96,400.0,-2.5
2010-12-27,Ravikumar Distilleries Ltd,73.6,0.15,7.31,3.01,2.22,64.0,0.0
2010-12-30,Punjab & Sind Bank,480.0,49.8,85.84,44.45,50.75,120.0,21.75
2011-01-20,C Mahendra Exports Ltd,165.0,1.02,3.92,4.82,2.78,110.0,0.91
2011-01-27,Midvalley Entertainment & Hospitality Ltd,60.0,0.35,4.68,9.01,4.03,70.0,4.29
2011-02-02,Tata Steel Ltd,3477.0,10.41,7.21,1.6,6.03,610.0,3.3
2011-02-10,Omkar Speciality Chemicals Ltd,79.38,0.82,5.27,9.9,4.67,98.0,-3.06
2011-03-10,AcroPetal Technologies Ltd,170.0,1.12,2.0,1.21,1.28,90.0,44.44
2011-03-11,Fineotex Chemical Ltd,29.48,0.0,0.22,4.38,1.57,70.0,14.29
2011-03-11,Sudar Industries Ltd,69.98,0.17,4.47,2.28,1.55,77.0,-3.9
2011-03-24,Lovable Lingerie Ltd,93.28,21.87,99.87,20.84,35.21,205.0,27.56
2011-03-30,PTC India Financial Services Ltd,433.28,2.85,0.22,1.18,1.7,28.0,0.0
2011-04-08,Shilpi Cable Technologies Ltd,55.88,1.04,6.39,5.74,3.48,69.0,13.55
2011-05-06,Muthoot Finance Ltd,901.25,25.01,60.94,8.5,24.55,175.0,2.86
2011-05-09,Paramount Printpac Ltd,45.83,0.33,3.28,9.31,3.92,35.0,0.0
2011-05-10,Future Consumer Ltd,750.0,0.26,7.81,0.61,1.52,10.0,-5.0
2011-05-12,Servalakshmi Paper Ltd,60.0,0.34,4.21,1.9,1.47,29.0,3.45
2011-05-13,Innoventive Industries Ltd,217.41,0.85,1.94,1.48,1.24,117.0,-5.98
2011-05-23,BF Industrial & Technologies Ltd,36.9,0.0,1.82,2.93,1.3,85.0,0.0
2011-05-27,Dr. Datsons Labs Ltd,117.0,0.14,2.65,1.84,1.11,234.0,-1.94
2011-05-27,Power Finance Corporation Ltd,4578.2,6.92,1.2,2.0,4.34,203.0,-2.66
2011-06-14,VMS Industries Ltd,25.75,0.0,1.11,3.41,1.36,40.0,9.88
2011-06-22,Timbor Home Ltd,23.25,0.65,3.22,14.22,5.78,63.0,14.29
2011-07-07,Rushil Decor Ltd,40.64,0.23,1.35,6.57,2.62,72.0,12.85
2011-07-07,Birla Pacific Medspa Ltd,65.18,1.04,0.17,1.82,1.18,10.0,1.0
2011-07-13,Kridhan Infra Ltd,34.75,0.03,1.37,4.18,1.68,108.0,6.48
2011-07-28,Bharatiya Global Infomedia Ltd,55.1,0.0,1.94,5.06,2.06,82.0,2.44
2011-08-04,Inventure Growth & Securities Ltd,81.9,0.25,9.49,8.66,4.58,117.0,1.71
2011-08-12,L&T Finance Holdings Ltd,1245.0,1.93,6.18,9.61,5.34,52.0,-1.92
2011-08-26,Tree House Education & Accessories Ltd,112.06,1.02,1.68,2.76,1.85,135.0,-1.63
2011-09-05,Brooks Laboratories Ltd,63.0,0.0,2.82,3.36,1.6,100.0,10.0
2011-09-08,TD Power Systems Ltd,227.0,6.52,0.38,0.38,2.92,256.0,-1.72
2011-09-16,SRS Ltd,203.0,0.75,5.11,0.32,1.25,58.0,-5.17
2011-09-26,PG Electroplast Ltd,120.65,0.98,1.84,1.64,1.34,210.0,-4.76
2011-10-04,Setubandhan Infrastructure Ltd,60.0,0.31,2.76,4.68,2.21,138.0,5.07
2011-10-07,RDB Rasayans Ltd,35.55,0.0,0.75,3.96,1.5,79.0,7.59
2011-10-17,Onelife Capital Advisors Ltd,36.85,1.02,0.93,2.5,1.53,110.0,4.55
2011-10-19,Flexituff Ventures International Ltd,104.63,0.51,2.35,1.6,1.17,155.0,0.0
